Date,vader_score,date,NIFTY_50_Close,SMA_20,RSI
2017-11-06,0.326475,06-11-2017,10451.7998,10220.906176,72.43598357835694
2017-11-07,-0.3182,07-11-2017,10350.15039,10241.70368575,59.79762459564558
2017-11-08,0.1909,08-11-2017,10303.15039,10257.42370525,57.518191507555365
2017-11-12,-0.365266667,12-11-2017,10326.65039,10272.908714750001,65.71421775709169
2017-11-13,0.0,13-11-2017,10224.9502,10284.9162345,53.59869930923901
2017-11-15,0.017233333,15-11-2017,10118.0498,10285.998705,45.50684354740348
2017-11-16,-0.4404,16-11-2017,10214.75,10285.1937245,50.43133861200723
2017-11-17,0.5106,17-11-2017,10283.59961,10287.651195,45.98638754964802
2017-11-19,0.0,19-11-2017,10249.1748,10289.5674545,45.1628745742249
2017-11-20,0.091066667,20-11-2017,10298.75,10297.1774645,47.84045149951811
2017-11-21,-0.0821,21-11-2017,10326.90039,10304.587498500001,50.23462022530058
2017-11-23,-0.8225,23-11-2017,10348.75,10312.782518,49.070873799617466
2017-11-24,0.376266667,24-11-2017,10389.7002,10321.882518000002,46.68387065676402
2017-11-26,-0.7964,26-11-2017,10369.2251,10323.153783,46.454922765155345
2017-11-28,-0.08005,28-11-2017,10370.25,10325.513793,44.51027951503784
2017-11-29,0.7579,29-11-2017,10361.2998,10326.907543000001,50.857579886716856
2017-12-01,-0.262175,01-12-2017,10121.7998,10316.845043000001,39.23800275024357
2017-12-04,0.3806,04-12-2017,10127.75,10305.050023500002,37.945445666787606
2017-12-05,-0.26335,05-12-2017,10118.25,10288.9375235,42.71969974051064
2017-12-06,-0.3818,06-12-2017,10044.09961,10269.952514,44.718226952697776
2017-12-07,0.0,07-12-2017,10166.7002,10255.697534,46.69056267143019
2017-12-11,-0.1366,11-12-2017,10322.25,10254.302514500001,52.37804244695877
2017-12-12,0.36765,12-12-2017,10240.15039,10251.152514500001,49.47552392889492
2017-12-13,0.6505,13-12-2017,10192.9502,10244.467505,43.83415965463206
2017-12-14,0.0,14-12-2017,10252.09961,10245.8249755,45.79274632032248
2017-12-15,0.24695,15-12-2017,10333.25,10256.584985500001,49.18270582752258
2017-12-18,0.20095,18-12-2017,10388.75,10265.2849855,49.9506543814807
2017-12-19,0.0,19-12-2017,10463.2002,10274.265015,54.621229803366276
2017-12-21,0.0318,21-12-2017,10440.2998,10283.821265,53.372151683849914
2017-12-22,0.172633333,22-12-2017,10493.0,10293.533765,56.08370436482627
2017-12-27,0.6705,27-12-2017,10490.75,10301.7262455,71.82746243637439
2017-12-28,0.133966667,28-12-2017,10477.90039,10308.183765,70.54750691563827
2017-12-29,0.32578,29-12-2017,10530.7002,10315.233764999999,73.03288789888566
2017-12-30,0.0,30-12-2017,10504.30029,10321.9875245,77.14727553365621
2017-12-31,0.0,31-12-2017,10530.7002,10330.0100345,74.22147133886614
2018-02-05,0.0,05-02-2018,10666.5498,10797.718824,50.679967996461265
2018-02-06,-0.1253,06-02-2018,10498.25,10800.471314,42.777932278284254
2018-02-08,0.0,08-02-2018,10576.84961,10804.0738045,43.59267880640089
2018-02-09,-0.232525,09-02-2018,10454.9502,10798.878834,41.01423681625665
2018-02-10,0.0,10-02-2018,10515.8999,10793.493848499998,38.511573546088854
2018-02-11,-0.4939,11-02-2018,10454.9502,10784.6313485,33.004163564451545
2018-02-12,0.0,12-02-2018,10539.75,10779.058838500001,33.685901825479704
2018-02-14,0.5859,14-02-2018,10500.90039,10770.041358,27.110804761004218
2018-02-16,0.0,16-02-2018,10452.2998,10755.578857999999,27.179157673060473
2018-02-20,0.0,20-02-2018,10360.40039,10738.576367500002,18.40891422652612
2018-02-21,-0.237633333,21-02-2018,10397.4502,10717.5988775,22.246753894557543
2018-02-22,0.131675,22-02-2018,10382.7002,10691.998877499998,22.383918778270726
2018-02-23,0.0,23-02-2018,10491.0498,10668.2413575,29.22110187221834
2018-02-28,-0.18484,28-02-2018,10492.84961,10639.4013185,36.7561515215374
2018-03-02,0.05188,02-03-2018,10491.94971,10613.1025395,40.48704869010378
2018-03-05,0.043,05-03-2018,10358.84961,10574.5250005,42.101934505050146
2018-03-06,-0.8074,06-03-2018,10249.25,10534.504981,32.068928958227104
2018-03-07,0.0,07-03-2018,10154.2002,10490.829980999999,33.04004577061657
2018-03-08,-0.3383,08-03-2018,10242.65039,10452.117481,35.05441509887797
2018-03-11,0.0,11-03-2018,10198.42529,10424.008765,35.707697726111064
2018-03-13,0.25,13-03-2018,10426.84961,10412.0237555,44.57756000360595
